id,lat,lon
361102, 48.8785307, 2.3540413
361103, 48.8805026, 2.3523217
470195, 48.879398, 2.3485666
15643097, 48.8796813, 2.3459903
19715146, 48.8819948, 2.3466024
19715155, 48.8810938, 2.3498299
25095565, 48.8778887, 2.3516591
94157219, 48.8753256, 2.3509072
94157762, 48.875826, 2.3436827
94158188, 48.8740226, 2.3479115
94159491, 48.8763077, 2.3455815
94160057, 48.8760313, 2.3445179
94161169, 48.8738168, 2.3505169
94164234, 48.8776293, 2.3515582
94164238, 48.8771009, 2.351403
94164241, 48.8721309, 2.350047
94165147, 48.8771909, 2.3489767
94165149, 48.8762676, 2.3484736
94165414, 48.8796827, 2.3495234
94165420, 48.8774234, 2.3491
94165798, 48.8785497, 2.3505446
94166145, 48.8801114, 2.3509646
94166149, 48.8814567, 2.3514274
94166338, 48.8794977, 2.3508043
94166339, 48.8793874, 2.3516223
94166342, 48.879509, 2.3520644
94166688, 48.8819204, 2.3527269
94166717, 48.8819741, 2.3509635
94167358, 48.8815633, 2.3540946
94167629, 48.8792933, 2.352422
94167630, 48.8792792, 2.353378
94167835, 48.8783963, 2.3515003
94168021, 48.8773293, 2.3551303
94168165, 48.8773529, 2.3496039
94169400, 48.8774262, 2.3468817
94169547, 48.876566, 2.3465822
94169695, 48.8766355, 2.34868
94169987, 48.8765871, 2.3443796
94170757, 48.8767471, 2.3472774
94170852, 48.8771176, 2.3457401
94170853, 48.8773422, 2.3446543
94171402, 48.8783464, 2.3450231
94178683, 48.881594, 2.3447579
94179673, 48.8797655, 2.3455896
94179676, 48.8793566, 2.345762
94179906, 48.8808844, 2.3464352
94179907, 48.8801694, 2.3462491
94181022, 48.8782363, 2.3543147
94181306, 48.8789735, 2.3557598
94205088, 48.8807111, 2.3477568
94205089, 48.8804647, 2.3498007
94205548, 48.8835107, 2.3495902
94206073, 48.8831462, 2.3469109
94206128, 48.8824485, 2.3467249
94206274, 48.8823973, 2.3496702
94206449, 48.8795636, 2.3474182
94206882, 48.8799696, 2.3475398
94207053, 48.8778821, 2.3468364
94207230, 48.8790148, 2.3472831
94208278, 48.8801848, 2.343747
94208279, 48.8802409, 2.3429271
94210933, 48.876998, 2.3422049
94211141, 48.8777464, 2.3424215
94211142, 48.8792364, 2.3432076
94211143, 48.8815261, 2.3444276
94211386, 48.8786107, 2.3459042
94211772, 48.8787586, 2.3453181
94211916, 48.8804114, 2.3403964
94214160, 48.8793363, 2.3427941
186658078, 48.8764615, 2.3461737
202815231, 48.8765239, 2.3486204
202815391, 48.8760934, 2.3511154
202815928, 48.8748703, 2.3508
247114623, 48.8778065, 2.3471441
247114737, 48.8787953, 2.3465294
247114746, 48.8783315, 2.3463528
247114907, 48.8781471, 2.3511983
256619152, 48.8748504, 2.3480671
267350030, 48.8798627, 2.3546849
267350287, 48.8794065, 2.353266
267350316, 48.8814706, 2.3542235
280246014, 48.8802517, 2.3536377
280248435, 48.8799607, 2.3547629
326967463, 48.8764613, 2.3512086
327046138, 48.8777832, 2.35126
327046186, 48.8777184, 2.3519327
327048374, 48.878685, 2.351428
327048377, 48.8785934, 2.3515223
327048378, 48.8784731, 2.351996
327050902, 48.8781974, 2.3513301
327050904, 48.8781586, 2.351515
327050907, 48.8781631, 2.3515539
327050909, 48.8781513, 2.3515786
327050911, 48.8781262, 2.3518064
327050914, 48.8781288, 2.3521214
327058806, 48.8784931, 2.3522925
327061268, 48.8786229, 2.351323
368327397, 48.8777757, 2.3472871
414997090, 48.8790538, 2.3474148
414997472, 48.8793465, 2.3483914
414997481, 48.8789352, 2.3472545
414997482, 48.8789562, 2.3470791
414997485, 48.8794531, 2.3487502
414997486, 48.8794861, 2.3483534
414997515, 48.879327, 2.3487372
414997568, 48.8792687, 2.3485527
414997646, 48.8787237, 2.3465021
414997659, 48.8786279, 2.3459547
414997666, 48.8786494, 2.3457721
516246598, 48.8775452, 2.3515309
516246601, 48.8782204, 2.3512986
516246606, 48.8785018, 2.3514409
516246608, 48.8784398, 2.3522687
579512150, 48.8806723, 2.3523886
583012053, 48.8783086, 2.3427225
602281887, 48.8775951, 2.3521854
602281888, 48.8806019, 2.3524983
602281889, 48.8803059, 2.3523039
613742310, 48.8733046, 2.3503885
652025787, 48.8795011, 2.3533312
652025834, 48.8785934, 2.3542845
652025857, 48.8787291, 2.3541076
652025865, 48.8787706, 2.3539876
652025872, 48.8804091, 2.3525177
652025876, 48.8804703, 2.3525211
652025883, 48.8805055, 2.3525325
652025891, 48.8806932, 2.3522611
652026014, 48.8772908, 2.3550107
652026039, 48.8747982, 2.357242
652026059, 48.8765094, 2.355678
652026102, 48.8757427, 2.3563848
652026133, 48.8766015, 2.3556266
652026142, 48.8747079, 2.3573261
652028896, 48.8806197, 2.3522011
652031434, 48.8832221, 2.3496789
652031449, 48.8820133, 2.3510746
652031469, 48.8792461, 2.3532587
652031470, 48.880465, 2.3521621
652031471, 48.8813724, 2.3513506
652031472, 48.8806531, 2.3519914
652031474, 48.8835223, 2.3494236
655336894, 48.8786026, 2.3521253
655336895, 48.8784744, 2.3519049
655336896, 48.878488, 2.3517886
655336897, 48.8785482, 2.3515517
655336898, 48.8786718, 2.3515325
655336899, 48.879638, 2.3497143
655338341, 48.8783704, 2.3517575
655338343, 48.8782826, 2.351319
655338344, 48.8782401, 2.3513416
655340002, 48.8786055, 2.3514131
655340003, 48.8785485, 2.3514226
655340005, 48.8795626, 2.3532768
655340006, 48.8795301, 2.3531526
663335755, 48.877255, 2.3427353
665070907, 48.8774625, 2.3491223
665070914, 48.8781676, 2.3513977
665070915, 48.8781618, 2.3514319
665070916, 48.8781582, 2.351474
665070917, 48.8781276, 2.3518248
665070918, 48.878101, 2.3519466
665070919, 48.8781085, 2.3518935
665070920, 48.8781115, 2.3520851
665070921, 48.8781029, 2.3520401
665070922, 48.8781242, 2.3518438
665070923, 48.8780991, 2.3519964
665070924, 48.8781731, 2.3518279
665070925, 48.8781561, 2.3518843
665070926, 48.8781375, 2.3519431
665070927, 48.878137, 2.3519992
665070928, 48.8781492, 2.35206
665070929, 48.8781667, 2.3520992
665070930, 48.8781505, 2.352152
665070931, 48.8781681, 2.3522079
665070939, 48.8782422, 2.3511985
665070940, 48.8781873, 2.3511314
665070941, 48.8783171, 2.3512383
665070942, 48.8782706, 2.3512258
665070943, 48.8781803, 2.3513637
665070944, 48.8782433, 2.3512782
665070946, 48.8782148, 2.3513902
665070949, 48.8782975, 2.3512604
665070950, 48.8782752, 2.3512655
665070951, 48.8783311, 2.3513361
665070962, 48.8784877, 2.3513066
665070963, 48.8783683, 2.3513798
665070964, 48.8784324, 2.3512858
665070965, 48.8783613, 2.3512557
665070966, 48.8781994, 2.3514632
665070967, 48.878203, 2.3515373
665070968, 48.8782018, 2.3516078
665070969, 48.878188, 2.3517127
665070978, 48.8784674, 2.3514633
665070979, 48.8783899, 2.3514571
665070981, 48.8785107, 2.3516205
665070987, 48.8785568, 2.3513138
665071001, 48.8783376, 2.352067
665071006, 48.8783869, 2.3520791
665071009, 48.8784967, 2.3520686
665071015, 48.8781822, 2.3521829
665071016, 48.8783265, 2.352213
665071017, 48.8782714, 2.3522221
665071018, 48.8782265, 2.3522203
665071019, 48.8782039, 2.352125
665071020, 48.8782441, 2.3521281
665071021, 48.8782952, 2.3521071
665071031, 48.8783826, 2.3522314
665071032, 48.8784167, 2.3521258
665071033, 48.878465, 2.3521801
665071034, 48.878503, 2.3522119
665071041, 48.8785884, 2.352232
665071042, 48.8785418, 2.3520991
665071077, 48.8802202, 2.3523954
674091974, 48.8784889, 2.3539295
674646813, 48.8745361, 2.357479
772798629, 48.8776162, 2.3469781
772798630, 48.8775875, 2.3471175
784296683, 48.8803218, 2.3538408
784296702, 48.8800238, 2.3553449
784298793, 48.8792046, 2.3522385
784298853, 48.880013, 2.3553023
784299975, 48.8803293, 2.3538071
784300272, 48.8799147, 2.3559163
784300449, 48.8801925, 2.354491
784300488, 48.8779419, 2.3521628
784300575, 48.8799357, 2.3557088
784301367, 48.880008, 2.3559629
784301773, 48.8799033, 2.3558722
784303345, 48.8801411, 2.3547193
784303760, 48.8798932, 2.3558983
784304300, 48.8799917, 2.3559467
784308642, 48.8800735, 2.3550068
784313614, 48.8799457, 2.3557182
784314413, 48.8801983, 2.3544037
784318543, 48.8804143, 2.3538674
784318832, 48.8799185, 2.3558188
784319926, 48.880204, 2.3543753
784320648, 48.8775403, 2.3514475
784320890, 48.880068, 2.3551251
784321728, 48.8800885, 2.3549965
784322086, 48.8800399, 2.3552301
